critic,fresh,imdb,publication,quote,review_date,rtid,title
Stephanie Zacharek,rotten,386117.0,Salon.com,"Jonze's ideas, visual and otherwise, spill out in a faux-philosophical ramble that isn't nearly as deep as he thinks it is; at best, it's a scrambled tone poem. Even the look of the picture becomes tiresome after a while.",2009-10-15,770671948.0,Where the Wild Things Are
Claudia Puig,fresh,386117.0,USA Today,Where the Wild Things Are is a fiercely innovative film with surprising texture and nuance. It captures the joy and exuberance of childhood without shying away from its very real pains and woes.,2009-10-15,770671948.0,Where the Wild Things Are
Joe Morgenstern,fresh,386117.0,Wall Street Journal,"Where the Wild Things Are honors the book in every imaginable way, and in ways no one could have imagined until Spike Jonze and his collaborators came along.",2009-10-15,770671948.0,Where the Wild Things Are
Kenneth Turan,rotten,386117.0,Los Angeles Times,"Sometimes you are better off with 10 sentences than tens of millions of dollars, and this is one of those times.",2009-10-15,770671948.0,Where the Wild Things Are
Manohla Dargis,fresh,386117.0,New York Times,Where the Wild Things Are is an alternately perfect and imperfect if always beautiful adaptation of the Maurice Sendak children's book.,2009-10-15,770671948.0,Where the Wild Things Are
Peter Travers,fresh,386117.0,Rolling Stone,"For all the money spent, the film's success is best measured by its simplicity and the purity of its innovation. Jonze has filmed a fantasy as if it were absolutely real, allowing us to see the world as Max sees it, full of beauty and terror.",2009-10-15,770671948.0,Where the Wild Things Are
Todd McCarthy,rotten,125454.0,Variety,Paulie has moments of minor charm but lacks the magic to fully capture the imaginations of either children or adults.,2008-05-12,11537.0,Paulie
Lisa Alspector,fresh,125454.0,Chicago Reader,"Shalhoub gives an impressively nuanced performance in the dangerously cliched role, and Paulie -- a combination of trained parrots, animatronics, and the voice of Mohr -- comes across as a fully developed character.",2008-05-12,11537.0,Paulie
,rotten,125454.0,Globe and Mail,,2002-04-12,11537.0,Paulie
Bob Heisler,fresh,125454.0,Los Angeles Times,"A perfect family movie with the intelligence, humor and hug-me moments to be a great first-date movie, too. Just remember to bring a hankie.",2001-02-14,11537.0,Paulie
,rotten,125454.0,USA Today,,2000-01-01,11537.0,Paulie
Louis B. Parks,fresh,125454.0,Houston Chronicle,Unusual and surprisingly agreeable.,2000-01-01,11537.0,Paulie
Susan Stark,rotten,125454.0,Detroit News,,2000-01-01,11537.0,Paulie
Roger Ebert,rotten,125454.0,Chicago Sun-Times,"The film is aimed at children, I suppose, although I don't think they'll like Paulie all that much. I didn't.",2000-01-01,11537.0,Paulie
Peter Stack,rotten,125454.0,San Francisco Chronicle,"Paulie has elements of a good weepy, but overall it never quite gels beyond being a passable novelty.",2000-01-01,11537.0,Paulie
Jay Carr,rotten,125454.0,Boston Globe,,2000-01-01,11537.0,Paulie
Lawrence Van Gelder,fresh,125454.0,New York Times,It is something to behold.,2000-01-01,11537.0,Paulie
,rotten,125454.0,Entertainment Weekly,,1998-04-17,11537.0,Paulie
,none,46126.0,Variety,,2009-03-26,18741.0,Niagara
,none,46126.0,New York Times,,2006-10-31,18741.0,Niagara
,none,46126.0,Time Out,,2006-01-26,18741.0,Niagara
Owen Gleiberman,rotten,120510.0,Entertainment Weekly,,2011-09-07,11600.0,Wide Awake
Emanuel Levy,none,120510.0,Variety,,2009-04-03,11600.0,Wide Awake
Kevin Thomas,fresh,120510.0,Los Angeles Times,"A wonderful family film that deals sensitively, and even with humor, with a fairly unusual situation for the screen: a 9-year-old's struggles with his faith in God.",2001-02-14,11600.0,Wide Awake
Peter Stack,rotten,120510.0,San Francisco Chronicle,"Children, too, will be bored to tears navigating through some of the talky spiritual gunk.",2000-01-01,11600.0,Wide Awake
James Berardinelli,fresh,120510.0,ReelViews,"I was aware of the problems, but that didn't diminish the warm, fuzzy glow I was experiencing.",2000-01-01,11600.0,Wide Awake
Jeff Millar,rotten,120510.0,Houston Chronicle,"The fact is, just too many of the characters and plot points are right out of the stock room: the obligatory fat kid; the obligatory bully; the obligatory kid whose parents can't really afford Catholic school tuition ...",2000-01-01,11600.0,Wide Awake
Stephen Holden,rotten,120510.0,New York Times,"Beneath its suffocating, smug sentimentality, you have to look hard to uncover a single moment of truth and genuine feeling.",2000-01-01,11600.0,Wide Awake
Susan Stark,rotten,120510.0,Detroit News,,2000-01-01,11600.0,Wide Awake
Roger Ebert,rotten,120510.0,Chicago Sun-Times,I wonder who the movie was made for.,2000-01-01,11600.0,Wide Awake
Lisa Schwarzbaum,rotten,120793.0,Entertainment Weekly,,2011-09-07,14324.0,A Price Above Rubies
Emanuel Levy,none,120793.0,Variety,,2008-08-07,14324.0,A Price Above Rubies
Derek Adams,none,120793.0,Time Out,,2006-06-24,14324.0,A Price Above Rubies
,rotten,120793.0,Globe and Mail,,2002-04-12,14324.0,A Price Above Rubies
Janet Maslin,none,120793.0,New York Times,,2000-01-01,14324.0,A Price Above Rubies
,none,120793.0,Houston Chronicle,,2000-01-01,14324.0,A Price Above Rubies
Roger Ebert,fresh,120793.0,Chicago Sun-Times,,2000-01-01,14324.0,A Price Above Rubies
Susan Stark,fresh,120793.0,Detroit News,,2000-01-01,14324.0,A Price Above Rubies
Charles Taylor,none,120793.0,Salon.com,,2000-01-01,14324.0,A Price Above Rubies
James Berardinelli,rotten,120793.0,ReelViews,,2000-01-01,14324.0,A Price Above Rubies
,rotten,120793.0,Entertainment Weekly,,1998-03-25,14324.0,A Price Above Rubies
Owen Gleiberman,fresh,124179.0,Entertainment Weekly,,2011-09-07,14815.0,Two Girls and a Guy
Michael O'Sullivan,fresh,124179.0,Washington Post,"The young actresses Graham and Wagner here create two characters who feel whole, distinct and weighty.",2008-02-12,14815.0,Two Girls and a Guy
Rita Kempley,fresh,124179.0,Washington Post,"An edgy, gabby, salaciously subversive sex farce.",2008-02-12,14815.0,Two Girls and a Guy
David Edelstein,fresh,124179.0,Slate,"You gotta admire a director who can come up with a way to hang out in such luxurious digs for two weeks, acting out sexual situations with three of the dishiest young actors in the business.",2008-02-12,14815.0,Two Girls and a Guy
Todd McCarthy,fresh,124179.0,Variety,"A lively, if slender, perpetuation of the battle between the sexes on a modern battleground.",2008-02-12,14815.0,Two Girls and a Guy
Lisa Alspector,rotten,124179.0,Chicago Reader,"Writer-director James Toback must believe his audience is hopelessly prudish if he thinks this pedantic story, which takes place over several hours in a Manhattan loft, is provocative.",2008-02-12,14815.0,Two Girls and a Guy
Andrew Sarris,fresh,124179.0,New York Observer,"Toback has somehow managed to prolong and expand this sketchy egg-on-your-face situation with a series of unexpected ironies and power role reversals that are not without wit, humor and intelligence.",2007-04-27,14815.0,Two Girls and a Guy
Geoff Andrew,fresh,124179.0,Time Out,"A thoroughly engrossing, intelligent and enjoyable experience.",2006-06-24,14815.0,Two Girls and a Guy
Rick Groen,rotten,124179.0,Globe and Mail,,2003-04-25,14815.0,Two Girls and a Guy
Jack Mathews,rotten,124179.0,Los Angeles Times,A small movie with some big moments and a lot of unfinished business.,2001-02-14,14815.0,Two Girls and a Guy
Susan Stark,rotten,124179.0,Detroit News,,2000-01-01,14815.0,Two Girls and a Guy
James Berardinelli,rotten,124179.0,ReelViews,,2000-01-01,14815.0,Two Girls and a Guy
David Denby,rotten,124179.0,New York Magazine/Vulture,"Two Girls and a Guy isn't a satisfying movie, but Downey is alarmingly brilliant in it.",2000-01-01,14815.0,Two Girls and a Guy
,rotten,124179.0,USA Today,,2000-01-01,14815.0,Two Girls and a Guy
Janet Maslin,fresh,124179.0,New York Times,"Robert Downey Jr.'s Blake Allen is enough of a raging dynamo to find the dark humor and desperate romanticism at the heart of Mr. Toback's ego trip of a premise, and to make Blake sympathetic too.",2000-01-01,14815.0,Two Girls and a Guy
Mick LaSalle,fresh,124179.0,San Francisco Chronicle,"Wagner doesn't wink at the audience to let it know she's not as ignorant and naive as the character she plays. It's a performance that risks being misunderstood, and it probably will be.",2000-01-01,14815.0,Two Girls and a Guy
Charles Taylor,fresh,124179.0,Salon.com,Downey's last scene knocks the wind out of you: You may feel you need a moment or two before you can get up out of your seat.,2000-01-01,14815.0,Two Girls and a Guy
Roger Ebert,fresh,124179.0,Chicago Sun-Times,Sometimes the story behind a movie can bring an angle to what's on the screen.,2000-01-01,14815.0,Two Girls and a Guy
Jay Carr,rotten,124179.0,Boston Globe,,2000-01-01,14815.0,Two Girls and a Guy
,fresh,124179.0,Entertainment Weekly,,1998-04-24,14815.0,Two Girls and a Guy
,none,119560.0,Entertainment Weekly,,2009-11-06,15914.0,No Looking Back
Todd McCarthy,none,119560.0,Variety,,2009-03-26,15914.0,No Looking Back
Andrew Sarris,none,119560.0,New York Observer,,2007-04-27,15914.0,No Looking Back
Jeff Strickler,none,119560.0,Minneapolis Star Tribune,,2002-11-06,15914.0,No Looking Back
,fresh,119560.0,Globe and Mail,,2002-04-12,15914.0,No Looking Back
,rotten,119560.0,USA Today,,2000-01-01,15914.0,No Looking Back
Stephen Holden,none,119560.0,New York Times,,2000-01-01,15914.0,No Looking Back
,none,119560.0,Houston Chronicle,,2000-01-01,15914.0,No Looking Back
Susan Stark,rotten,119560.0,Detroit News,,2000-01-01,15914.0,No Looking Back
Mick LaSalle,none,119560.0,San Francisco Chronicle,,2000-01-01,15914.0,No Looking Back
Roger Ebert,rotten,119560.0,Chicago Sun-Times,,2000-01-01,15914.0,No Looking Back
James Berardinelli,rotten,119560.0,ReelViews,,2000-01-01,15914.0,No Looking Back
,none,120219.0,AV Club,,2005-05-09,12248.0,Storefront Hitchcock
Mark Athitakis,none,120219.0,Salon.com,,2000-01-01,12248.0,Storefront Hitchcock
Douglas Wolk,none,120219.0,Village Voice,,2000-01-01,12248.0,Storefront Hitchcock
Stephen Holden,none,120219.0,New York Times,,2000-01-01,12248.0,Storefront Hitchcock
Ben Walters,fresh,421238.0,Time Out,"A beautifully shot tracker's western that brings the Fordian poles of garden and desert to bear on the bushrangers' Outback, this is also a revenge drama of substantial horror.",2006-06-24,155654902.0,The Proposition
Joe Morgenstern,fresh,421238.0,Wall Street Journal,A visionary tale of a fragile civilizing impulse crushed by family loyalty and a lust for revenge in the vast Outback of the late 19th century.,2006-06-22,155654902.0,The Proposition
John Hartl,rotten,421238.0,Seattle Times,"It doesn't offer much that hasn't already been said about lawless frontier towns, bonds between outlaws or the settling of the West.",2006-06-09,155654902.0,The Proposition
Roger Moore,rotten,421238.0,Orlando Sentinel,"By the end, it all pays off exactly the way a hundred earlier Westerns did.",2006-06-09,155654902.0,The Proposition
Peter Debruge,fresh,421238.0,Miami Herald,"In-your-face combativeness is The Proposition's power, and for those of you who value your westerns, the effect is not unlike that of The Wild Bunch or Unforgiven.",2006-06-09,155654902.0,The Proposition
Bill Muller,fresh,421238.0,Arizona Republic,"It's fitting that The Proposition is set Down Under, because in many ways, it's a reverse Western.",2006-06-08,155654902.0,The Proposition
Tom Long,fresh,421238.0,Detroit News,"An intense piece of wilderness ugliness that mixes family, honor, decency, revenge, racism and mindless blood lust in a manner that satisfies even if it never astounds.",2006-06-02,155654902.0,The Proposition
Ruthe Stein,fresh,421238.0,San Francisco Chronicle,The squeamish should skip this film. But its recurring violence seems justified in terms of the story Cave sets out to tell and is up a familiar alley for the songwriter who has an album called Murder Ballads.,2006-05-26,155654902.0,The Proposition
Amy Biancolli,fresh,421238.0,Houston Chronicle,"Murder ballad for the slice-and-dice age, a film of sensitive artistry laced with gore.",2006-05-26,155654902.0,The Proposition
Rick Groen,rotten,421238.0,Globe and Mail,"This is the crucial proposition The Proposition misses: To make us truly despair about the face of violence, it must be firmly attached to someone we know, and not merely blown off someone we don't.",2006-05-26,155654902.0,The Proposition
Ty Burr,fresh,421238.0,Boston Globe,"A near-masterpiece of mood and menace, and one that deserves to be seen on the largest screen possible.",2006-05-26,155654902.0,The Proposition
Philip Wuntch,fresh,421238.0,Dallas Morning News,"It's consistently compelling and thought-provoking. This one will stay with you, and despite its disturbing moments, you'll welcome it.",2006-05-25,155654902.0,The Proposition
Ann Hornaday,fresh,421238.0,Washington Post,A revisionist western that brings its own brand of sanguinary honesty to the genre.,2006-05-25,155654902.0,The Proposition
Jan Stuart,fresh,421238.0,Newsday,"Offering proportionate measures of raw violence and lyrical soliloquizing, the Peckinpah-influenced The Proposition is for those who prefer their western action unvarnished but immaculately framed.",2006-05-25,155654902.0,The Proposition
Colin Covert,fresh,421238.0,Minneapolis Star Tribune,"Hillcoat creates a vision as nihilistic as any horror film ever put on a screen, but so well acted and carefully conceived that it transcends exploitation.",2006-05-25,155654902.0,The Proposition
Eleanor Ringel Gillespie,fresh,421238.0,Atlanta Journal-Constitution,"The movie gets at something primal in the pit of your stomach, something that speaks of loyalty and betrayal, of men's souls -- or the lack thereof.",2006-05-25,155654902.0,The Proposition
Lisa Schwarzbaum,fresh,421238.0,Entertainment Weekly,A pitiless yet elegiac Australian Western as caked with beauty as it is with blood.,2006-05-20,155654902.0,The Proposition
Robert Denerstein,fresh,421238.0,Denver Rocky Mountain News,"I'm guessing that Hillcoat wants us to see The Proposition as a howling, heartsick message from our savage selves. The story is ugly, but there's some beauty in the telling.",2006-05-19,155654902.0,The Proposition
Michael Booth,rotten,421238.0,Denver Post,"Over the top, Down Under.",2006-05-19,155654902.0,The Proposition
Roger Ebert,fresh,421238.0,Chicago Sun-Times,"Have you read Blood Meridian, the novel by Cormac McCarthy? This movie comes close to realizing the vision of that dread and despairing story.",2006-05-19,155654902.0,The Proposition
Leonard Klady,none,119305.0,Variety,,2009-03-26,14063.0,Homegrown
Glenn Abel,fresh,119305.0,Hollywood Reporter,,2004-06-04,14063.0,Homegrown
,fresh,119305.0,Globe and Mail,,2002-04-12,14063.0,Homegrown
Lawrence Van Gelder,none,119305.0,New York Times,,2000-01-01,14063.0,Homegrown
Mick LaSalle,none,119305.0,San Francisco Chronicle,,2000-01-01,14063.0,Homegrown
,rotten,119305.0,Entertainment Weekly,,1998-01-01,14063.0,Homegrown
Owen Gleiberman,fresh,119905.0,Entertainment Weekly,,2011-09-07,13247.0,The Players Club
Roger Ebert,fresh,119905.0,Chicago Sun-Times,,2000-01-01,13247.0,The Players Club
Jay Carr,rotten,119905.0,Boston Globe,,2000-01-01,13247.0,The Players Club
Peter Stack,none,119905.0,San Francisco Chronicle,,2000-01-01,13247.0,The Players Club
Susan Stark,fresh,119905.0,Detroit News,,2000-01-01,13247.0,The Players Club
,rotten,119905.0,USA Today,,2000-01-01,13247.0,The Players Club
Janet Maslin,none,119905.0,New York Times,,2000-01-01,13247.0,The Players Club
,fresh,119905.0,Entertainment Weekly,,1998-04-08,13247.0,The Players Club
Leonard Klady,fresh,120176.0,Variety,"David Mamet has a penchant for sleight-of-hand thrillers, and The Spanish Prisoner is his craftiest to date.",2008-11-20,11980.0,The Spanish Prisoner
Andrew Sarris,fresh,120176.0,New York Observer,The Spanish Prisoner shares with Glengarry Glen Ross a vision of life as a cosmic con game in which the victimizers feed the fantasies of the victims.,2007-04-27,11980.0,The Spanish Prisoner
Derek Adams,fresh,120176.0,Time Out,"David Mamet's most consistently enjoyable film to date is a cool, typically clever con-trick drama packed with deliciously inventive twists that get ever more convoluted and unnerving as the plot proceeds.",2006-02-09,11980.0,The Spanish Prisoner
Liam Lacey,fresh,120176.0,Globe and Mail,"There's something fresh, even restorative, in watching an American studio movie that doesn't treat the movie-going audience like a bunch of gullible marks.",2002-04-12,11980.0,The Spanish Prisoner
Kenneth Turan,fresh,120176.0,Los Angeles Times,"Mamet brings more than a decade's worth of filmmaking experience to his latest project, and his skill as a director has improved considerably.",2001-02-14,11980.0,The Spanish Prisoner
Roger Ebert,fresh,120176.0,Chicago Sun-Times,"It rolls its sleeves above its elbows to show it has no hidden cards, and then produces them out of thin air.",2000-01-01,11980.0,The Spanish Prisoner
Charles Taylor,rotten,120176.0,Salon.com,The picture is moderately diverting. But it's never much fun.,2000-01-01,11980.0,The Spanish Prisoner
Susan Stark,fresh,120176.0,Detroit News,,2000-01-01,11980.0,The Spanish Prisoner
Edward Guthmann,fresh,120176.0,San Francisco Chronicle,"Mamet's dialogue is as deft as ever, and he draws a fine, complex performance from Scott, an actor whose talents are underused and underappreciated.",2000-01-01,11980.0,The Spanish Prisoner
Janet Maslin,fresh,120176.0,New York Times,"It...has an appealing, ironically rarefied look that the filmmaker measures out carefully, in a story that begins with a seaplane and ends with a ferry.",2000-01-01,11980.0,The Spanish Prisoner
Jay Carr,fresh,120176.0,Boston Globe,,2000-01-01,11980.0,The Spanish Prisoner
David Denby,fresh,120176.0,New York Magazine/Vulture,"Mamet keeps the settings simple, breeding mistrust out of the flat walls and corporate colors. He concentrates on dialogue and character, and this movie is warmer, and much closer to psychological realism, than the weirdly schematic House of Games.",2000-01-01,11980.0,The Spanish Prisoner
James Berardinelli,fresh,120176.0,ReelViews,The Spanish Prisoner is for anyone who likes to think and feel along with the characters. Mamet offers us the same clues he gives to Joe; we can piece the truth together along with him.,2000-01-01,11980.0,The Spanish Prisoner
,fresh,120176.0,Entertainment Weekly,,1997-09-08,11980.0,The Spanish Prisoner
Lisa Schwarzbaum,fresh,120728.0,Entertainment Weekly,,2011-09-07,14733.0,The Last Days of Disco
Owen Gleiberman,fresh,120728.0,Entertainment Weekly,,2011-09-07,14733.0,The Last Days of Disco
Todd McCarthy,none,120728.0,Variety,,2009-03-26,14733.0,The Last Days of Disco
Andrew Sarris,none,120728.0,New York Observer,,2007-04-27,14733.0,The Last Days of Disco
Geoff Andrew,none,120728.0,Time Out,,2006-02-09,14733.0,The Last Days of Disco
,fresh,120728.0,Globe and Mail,,2003-04-25,14733.0,The Last Days of Disco
Jeff Strickler,none,120728.0,Minneapolis Star Tribune,,2002-11-06,14733.0,The Last Days of Disco
Kenneth Turan,fresh,120728.0,Los Angeles Times,Sharp-eyed and charming.,2001-02-14,14733.0,The Last Days of Disco
Laura Miller,fresh,120728.0,Salon.com,The pleasures in The Last Days of Disco come when the friends rant and quarrel and sulk and circle each other with an unstable mixture of need and resentment.,2000-01-01,14733.0,The Last Days of Disco
Roger Ebert,fresh,120728.0,Chicago Sun-Times,[Stillman] nails his characters with perfectly heard dialogue and laconic satire.,2000-01-01,14733.0,The Last Days of Disco
Mick LaSalle,rotten,120728.0,San Francisco Chronicle,"In its last hour, the picture becomes more clumsy and tiresome, but the stray laugh and the disco sound keep it pulsing.",2000-01-01,14733.0,The Last Days of Disco
James Berardinelli,fresh,120728.0,ReelViews,The combination of sharply-realized dialogue and infectiously energetic dance sequences keeps The Last Days of Disco from losing steam.,2000-01-01,14733.0,The Last Days of Disco
Janet Maslin,fresh,120728.0,New York Times,"If this film ... doesn't fully rise to the lovely vibrancy of Barcelona, it still extends the witty, quizzical style of Stillman's social comedies onto inviting new terrain.",2000-01-01,14733.0,The Last Days of Disco
,rotten,120728.0,USA Today,,2000-01-01,14733.0,The Last Days of Disco
Susan Stark,fresh,120728.0,Detroit News,,2000-01-01,14733.0,The Last Days of Disco
,fresh,120728.0,Entertainment Weekly,,1998-05-29,14733.0,The Last Days of Disco
,none,120773.0,Time Out,,2006-01-26,11241.0,The Odd Couple II
Jeff Strickler,none,120773.0,Minneapolis Star Tribune,,2002-11-06,11241.0,The Odd Couple II
,rotten,120773.0,Globe and Mail,,2002-07-12,11241.0,The Odd Couple II
Jack Mathews,none,120773.0,Los Angeles Times,,2001-02-21,11241.0,The Odd Couple II
,rotten,120773.0,USA Today,,2000-01-01,11241.0,The Odd Couple II
Stephen Holden,none,120773.0,New York Times,,2000-01-01,11241.0,The Odd Couple II
Roger Ebert,rotten,120773.0,Chicago Sun-Times,,2000-01-01,11241.0,The Odd Couple II
Susan Stark,rotten,120773.0,Detroit News,,2000-01-01,11241.0,The Odd Couple II
Ruthe Stein,none,120773.0,San Francisco Chronicle,,2000-01-01,11241.0,The Odd Couple II
,none,120773.0,Houston Chronicle,,2000-01-01,11241.0,The Odd Couple II
Jay Carr,rotten,120773.0,Boston Globe,,2000-01-01,11241.0,The Odd Couple II
James Berardinelli,rotten,120773.0,ReelViews,,2000-01-01,11241.0,The Odd Couple II
,rotten,120773.0,Entertainment Weekly,,1998-04-10,11241.0,The Odd Couple II
Derek Adams,none,120765.0,Time Out,,2006-02-09,12218.0,My Giant
Jeff Strickler,none,120765.0,Minneapolis Star Tribune,,2002-11-06,12218.0,My Giant
,rotten,120765.0,Globe and Mail,,2002-04-12,12218.0,My Giant
David Kronke,none,120765.0,Los Angeles Times,,2001-02-14,12218.0,My Giant
James Berardinelli,rotten,120765.0,ReelViews,,2000-01-01,12218.0,My Giant
Edward Guthmann,none,120765.0,San Francisco Chronicle,,2000-01-01,12218.0,My Giant
Jonathan Rosenbaum,none,120765.0,Chicago Reader,,2000-01-01,12218.0,My Giant
,none,120765.0,Houston Chronicle,,2000-01-01,12218.0,My Giant
Roger Ebert,rotten,120765.0,Chicago Sun-Times,,2000-01-01,12218.0,My Giant
Susan Stark,rotten,120765.0,Detroit News,,2000-01-01,12218.0,My Giant
,rotten,120765.0,USA Today,,2000-01-01,12218.0,My Giant
Janet Maslin,none,120765.0,New York Times,,2000-01-01,12218.0,My Giant
,rotten,120765.0,Entertainment Weekly,,1998-04-10,12218.0,My Giant
Bob Heisler,none,120213.0,Los Angeles Times,,2001-02-14,12527.0,Slappy and the Stinkers
Lawrence Van Gelder,none,120213.0,New York Times,,2000-01-01,12527.0,Slappy and the Stinkers
Peter Stack,none,120213.0,San Francisco Chronicle,,2000-01-01,12527.0,Slappy and the Stinkers
Dennis Harvey,none,118819.0,Variety,,2012-02-23,13737.0,Carne trémula
Lisa Schwarzbaum,fresh,118819.0,Entertainment Weekly,,2011-09-07,13737.0,Carne trémula
Lisa Nesselson,none,118819.0,Variety,,2009-03-26,13737.0,Carne trémula
Andrew Sarris,none,118819.0,New York Observer,,2007-04-27,13737.0,Carne trémula
Geoff Andrew,none,118819.0,Time Out,,2006-02-09,13737.0,Carne trémula
Liam Lacey,rotten,118819.0,Globe and Mail,"The overall purpose of Live Flesh, the latest and reputedly most 'mature' work from Spanish bad-boy director Pedro Almodovar, remains engigmatic.",2002-04-12,13737.0,Carne trémula
,fresh,118819.0,USA Today,,2000-01-01,13737.0,Carne trémula
Susan Stark,fresh,118819.0,Detroit News,,2000-01-01,13737.0,Carne trémula
Janet Maslin,fresh,118819.0,New York Times,"Almodovar, whose work here has newly sophisticated polish, appreciates the dark twists of this story along with the eroticism that bring heat to all the scheming.",2000-01-01,13737.0,Carne trémula
David Denby,fresh,118819.0,New York Magazine/Vulture,"Despite his erotic fixations, Pedro Almodovar is the cinema's last true innocent.",2000-01-01,13737.0,Carne trémula
Charles Taylor,rotten,118819.0,Salon.com,"I can only conclude that the people who think Flower and Live Flesh represent the new, mature Almodovar think that his earlier pictures were immature.",2000-01-01,13737.0,Carne trémula
Mick LaSalle,rotten,118819.0,San Francisco Chronicle,This is the first Almodovar movie that could be called boring.,2000-01-01,13737.0,Carne trémula
James Berardinelli,fresh,118819.0,ReelViews,"Like the gorgeous cinematography (which is used to good effect to eroticize a sex scene), this is all part of Almodovar's stylistic package. Never has it been more impressive than here, where everything (not just the flesh) is vibrant with life.",2000-01-01,13737.0,Carne trémula
Louis B. Parks,fresh,118819.0,Houston Chronicle,"Almodovar seems more assured here, confident that he can interest us without overt winking and tomfoolery.",2000-01-01,13737.0,Carne trémula
,fresh,118819.0,Entertainment Weekly,,1998-01-16,13737.0,Carne trémula
Michael O'Sullivan,fresh,138563.0,Washington Post,"Our culture has notoriously short attention spans and memories, but Kurt and Courtney goes a long way toward undoing the meticulous public relations campaign that Love has orchestrated in an effort to whitewash her tarnished image.",2014-04-11,13804.0,Kurt & Courtney
Daphne Merkin,fresh,138563.0,New Yorker,"The true circumstances of Cobain's death remain cloudy, but one comes away from the film unnerved by the distance travelled.",2014-04-11,13804.0,Kurt & Courtney
Steven Rea,fresh,138563.0,Philadelphia Inquirer,"Kurt and Courtney is an entertaining swim through the muck of the rock underworld. But as journalism, it's an utterly sloppy piece of work.",2014-04-11,13804.0,Kurt & Courtney
David Bianculli,rotten,138563.0,New York Daily News,We do get a strong sense that Love is a loose cannon with a short fuse. But in a freewheeling documentary about a drug-addled rock-star couple that hardly qualifies as a news flash.,2014-04-11,13804.0,Kurt & Courtney
Michele Greppi,fresh,138563.0,New York Post,It would be one mondo bizarro freak show but for the participation of some who clearly cared for the troubled young Cobain.,2014-04-11,13804.0,Kurt & Courtney
Greg Kot,rotten,138563.0,Chicago Tribune,We're left with only one credible impression of Courtney Love: That she is incredibly ambitious. What a shock!,2014-04-11,13804.0,Kurt & Courtney
Jay Boyar,fresh,138563.0,Orlando Sentinel,"In the Kurt-and-Courtney relationship, Broomfield has gotten ahold of an engrossing subject. And he pretty much has what it takes to do it justice.",2014-04-11,13804.0,Kurt & Courtney
Patrick MacDonald,rotten,138563.0,Seattle Times,You know little more about the subject when you leave the theater as when you came in.,2014-04-11,13804.0,Kurt & Courtney
Joshua Klein,rotten,138563.0,AV Club,"Love, in all her contradictory and confrontational glory, is far more compelling than any flimsy conspiracy theory.",2014-04-11,13804.0,Kurt & Courtney
Lisa Alspector,fresh,138563.0,Chicago Reader,"This patchwork portrait is hard to look away from, partly because it exposes how one man rationalizes the dirty job of being a documentary filmmaker.",2013-01-14,13804.0,Kurt & Courtney
Dennis Harvey,rotten,138563.0,Variety,"In the end, too, we've learned very little about Cobain's demons --- his alleged chronic stomach pains from stress, etc. --- or why he, and Nirvana, became so important to so many people",2009-03-26,13804.0,Kurt & Courtney
,fresh,138563.0,Time Out,"[A] funny, angry, provocative film.",2006-02-09,13804.0,Kurt & Courtney
Kenneth Turan,fresh,138563.0,Los Angeles Times,"Unreliable and categorically unfriendly to Love though it is, Kurt & Courtney is thoroughly watchable in a bad car accident, trash TV kind of way.",2001-02-21,13804.0,Kurt & Courtney
Edward Guthmann,rotten,138563.0,San Francisco Chronicle,"When Kurt and Courtney veers into speculation and gives voice to bizarre and unreliable witnesses, it reeks of tabloid excess.",2000-01-01,13804.0,Kurt & Courtney
Susan Stark,rotten,138563.0,Detroit News,,2000-01-01,13804.0,Kurt & Courtney
Roger Ebert,fresh,138563.0,Chicago Sun-Times,"In all of Broomfield's films, you meet people you can hardly believe exist.",2000-01-01,13804.0,Kurt & Courtney
Janet Maslin,fresh,138563.0,New York Times,"Mr. Broomfield doesn't ultimately prove, or even believe, that Mr. Cobain died under incriminating circumstances. But he makes it wrenchingly clear why the world in which he lived had become impossible to bear.",2000-01-01,13804.0,Kurt & Courtney
Owen Gleiberman,fresh,138563.0,Entertainment Weekly,Lurid and freakishly arresting.,1998-02-27,13804.0,Kurt & Courtney
Owen Gleiberman,rotten,119987.0,Entertainment Weekly,,2011-09-07,15367.0,The Real Blonde
Lisa Nesselson,none,119987.0,Variety,,2008-12-01,15367.0,The Real Blonde
Geoff Andrew,none,119987.0,Time Out,,2006-06-24,15367.0,The Real Blonde
,rotten,119987.0,Globe and Mail,,2003-04-25,15367.0,The Real Blonde
Jeff Strickler,none,119987.0,Minneapolis Star Tribune,,2002-11-06,15367.0,The Real Blonde
Jack Mathews,none,119987.0,Los Angeles Times,,2001-02-14,15367.0,The Real Blonde
Mick LaSalle,fresh,119987.0,San Francisco Chronicle,,2000-01-01,15367.0,The Real Blonde
Susan Stark,rotten,119987.0,Detroit News,,2000-01-01,15367.0,The Real Blonde
James Berardinelli,fresh,119987.0,ReelViews,,2000-01-01,15367.0,The Real Blonde
David Denby,none,119987.0,New York Magazine/Vulture,,2000-01-01,15367.0,The Real Blonde
Janet Maslin,none,119987.0,New York Times,,2000-01-01,15367.0,The Real Blonde
Roger Ebert,fresh,119987.0,Chicago Sun-Times,,2000-01-01,15367.0,The Real Blonde
,rotten,119987.0,Entertainment Weekly,,1998-02-27,15367.0,The Real Blonde
Derek Elley,none,118785.0,Variety,,2009-03-26,770679667.0,Budbringeren
Geoff Andrew,none,118785.0,Time Out,,2006-06-24,770679667.0,Budbringeren
